8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5
8.5,8.5,8.5,8.5,6,6,6,6,6,6,6,6
8.5,8.5,5.5,8,5.5,6,6,6,6,11.5,11.5,11
8.5,8.5,8.5,6,6,31,31,6,11.5,11.5,10.5,9
8.5,8.5,6.5,6,6,31,31,5.5,11.5,11,9.5,7.5
6.5,6,6,6,6,6,6,6,11,10,8.5,7.5
6,6,6,6,6,6,6,6,11.5,10,8.5,7.5
6,6,6,6,6,6,6,6,11.1,11,13.5,12
6,6,6,6,6,6,6,6,11.5,11.5,11.5,7.5
6,6,6,6,6,6,6,6,6,6,11.5,11.5
6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,6,6,6
6,6,6,6,6,6,6,6,6,3.5,3.5,3.5
6,6,6,6,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5
